,rank,elpd_waic,p_waic,elpd_diff,weight,se,dse,warning,scale
Hierarchical,0,-3213.7123258448455,2.5104128817322815,0.0,0.9779483434780621,28.07263570233828,0.0,False,log
Multi,1,-3220.323791818957,2.192565275447184,6.611465974111817,0.011801486541296152,28.43599650151423,2.2117273240748463,True,log
Single,2,-3221.3804862645343,0.9968707930166456,7.668160419689084,0.01025016998064261,28.441295347994725,2.7340562272277222,False,log
